Flow stats:
- Total flows: 80

CPU core stats:
- Total epochs: 25069
- Time-avg cores: 1

epoch:210, core:1, rate:319
epoch:211, core:1, rate:320
epoch:212, core:1, rate:288
epoch:213, core:1, rate:352
epoch:214, core:1, rate:350
epoch:215, core:1, rate:446
epoch:216, core:1, rate:447
epoch:217, core:1, rate:512
epoch:218, core:1, rate:511
epoch:219, core:1, rate:512
epoch:220, core:1, rate:384
epoch:221, core:1, rate:352
epoch:222, core:1, rate:384
epoch:223, core:1, rate:576
epoch:224, core:1, rate:704
epoch:225, core:1, rate:480
epoch:226, core:1, rate:416
epoch:227, core:1, rate:511
epoch:228, core:1, rate:352
epoch:229, core:1, rate:446
epoch:230, core:1, rate:384
epoch:231, core:1, rate:384
epoch:232, core:1, rate:448
epoch:233, core:1, rate:384
epoch:234, core:1, rate:384
epoch:235, core:1, rate:447
epoch:236, core:1, rate:512
epoch:237, core:1, rate:416
epoch:238, core:1, rate:448
epoch:239, core:1, rate:416
epoch:240, core:1, rate:352
epoch:241, core:1, rate:382
epoch:242, core:1, rate:414
epoch:243, core:1, rate:414
epoch:244, core:1, rate:350
epoch:245, core:1, rate:315
epoch:246, core:1, rate:351
epoch:247, core:1, rate:320
epoch:248, core:1, rate:349
epoch:249, core:1, rate:352
epoch:250, core:1, rate:384
epoch:251, core:1, rate:381
epoch:252, core:1, rate:416
epoch:253, core:1, rate:288
epoch:254, core:1, rate:317
epoch:255, core:1, rate:350
epoch:256, core:1, rate:287
epoch:257, core:1, rate:352
epoch:258, core:1, rate:384
epoch:259, core:1, rate:413
epoch:260, core:1, rate:352
epoch:261, core:1, rate:447
epoch:262, core:1, rate:415
epoch:263, core:1, rate:350
epoch:264, core:1, rate:416
epoch:265, core:1, rate:352
epoch:266, core:1, rate:447
epoch:267, core:1, rate:352
epoch:268, core:1, rate:480
epoch:269, core:1, rate:416
epoch:270, core:1, rate:448
epoch:271, core:1, rate:543
epoch:272, core:1, rate:413
epoch:273, core:1, rate:384
epoch:274, core:1, rate:384
epoch:275, core:1, rate:381
epoch:276, core:1, rate:320
epoch:277, core:1, rate:448
epoch:278, core:1, rate:384
epoch:279, core:1, rate:352
epoch:280, core:1, rate:447
epoch:281, core:1, rate:480
epoch:282, core:1, rate:350
epoch:283, core:1, rate:415
epoch:284, core:1, rate:415
epoch:285, core:1, rate:351
epoch:286, core:1, rate:320
epoch:287, core:1, rate:544
epoch:288, core:1, rate:608
epoch:289, core:1, rate:416
epoch:290, core:1, rate:352
epoch:291, core:1, rate:383
epoch:292, core:1, rate:384
epoch:293, core:1, rate:448
epoch:294, core:1, rate:384
epoch:295, core:1, rate:384
epoch:296, core:1, rate:352
epoch:297, core:1, rate:384
epoch:298, core:1, rate:288
epoch:299, core:1, rate:317
epoch:300, core:1, rate:350
epoch:301, core:1, rate:383
epoch:302, core:1, rate:318
epoch:303, core:1, rate:320
epoch:304, core:1, rate:288
epoch:305, core:1, rate:350
epoch:306, core:1, rate:384
epoch:307, core:1, rate:351
epoch:308, core:1, rate:540
epoch:309, core:1, rate:510
epoch:310, core:1, rate:512
epoch:311, core:1, rate:576
epoch:312, core:1, rate:605
epoch:313, core:1, rate:606
epoch:314, core:1, rate:576
epoch:315, core:1, rate:624
epoch:316, core:1, rate:573
epoch:317, core:1, rate:480
epoch:318, core:1, rate:415
epoch:319, core:1, rate:512
epoch:320, core:1, rate:445
epoch:321, core:1, rate:416
epoch:322, core:1, rate:445
epoch:323, core:1, rate:447
epoch:324, core:1, rate:414
epoch:325, core:1, rate:446
epoch:326, core:1, rate:413
epoch:327, core:1, rate:319
epoch:328, core:1, rate:352
epoch:329, core:1, rate:576
epoch:330, core:1, rate:352
epoch:331, core:1, rate:383
epoch:332, core:1, rate:383
epoch:333, core:1, rate:480
epoch:334, core:1, rate:384
epoch:335, core:1, rate:416
epoch:336, core:1, rate:415
epoch:337, core:1, rate:320
epoch:338, core:1, rate:382
epoch:339, core:1, rate:576
epoch:340, core:1, rate:444
epoch:341, core:1, rate:447
epoch:342, core:1, rate:476
epoch:343, core:1, rate:543
epoch:344, core:1, rate:511
epoch:345, core:1, rate:447
epoch:346, core:1, rate:382
epoch:347, core:1, rate:447
epoch:348, core:1, rate:476
epoch:349, core:1, rate:478
epoch:350, core:1, rate:446
epoch:351, core:1, rate:448
epoch:352, core:1, rate:512
epoch:353, core:1, rate:447
epoch:354, core:1, rate:480
epoch:355, core:1, rate:479
epoch:356, core:1, rate:478
epoch:357, core:1, rate:544
epoch:358, core:1, rate:448
epoch:359, core:1, rate:448
epoch:360, core:1, rate:511
epoch:361, core:1, rate:543
epoch:362, core:1, rate:445
epoch:363, core:1, rate:352
epoch:364, core:1, rate:447
epoch:365, core:1, rate:512
epoch:366, core:1, rate:384
epoch:367, core:1, rate:478
epoch:368, core:1, rate:415
epoch:369, core:1, rate:448
epoch:370, core:1, rate:416
epoch:371, core:1, rate:383
epoch:372, core:1, rate:480
epoch:373, core:1, rate:383
epoch:374, core:1, rate:352
epoch:375, core:1, rate:735
epoch:376, core:1, rate:415
epoch:377, core:1, rate:416
epoch:378, core:1, rate:576
epoch:379, core:1, rate:511
epoch:380, core:1, rate:447
epoch:381, core:1, rate:319
epoch:382, core:1, rate:383
epoch:383, core:1, rate:382
epoch:384, core:1, rate:415
epoch:385, core:1, rate:448
epoch:386, core:1, rate:350
epoch:387, core:1, rate:320
epoch:388, core:1, rate:349
epoch:389, core:1, rate:415
epoch:390, core:1, rate:415
epoch:391, core:1, rate:352
epoch:392, core:1, rate:350
epoch:393, core:1, rate:351
epoch:394, core:1, rate:319
epoch:395, core:1, rate:383
epoch:396, core:1, rate:352
epoch:397, core:1, rate:352
epoch:398, core:1, rate:352
epoch:399, core:1, rate:382
epoch:400, core:1, rate:383
epoch:401, core:1, rate:416
epoch:402, core:1, rate:447
epoch:403, core:1, rate:448
epoch:404, core:1, rate:384
epoch:405, core:1, rate:543
epoch:406, core:1, rate:448
epoch:407, core:1, rate:415
epoch:408, core:1, rate:351
epoch:409, core:1, rate:318
epoch:410, core:1, rate:352
epoch:411, core:1, rate:383
epoch:412, core:1, rate:352
epoch:413, core:1, rate:383
epoch:414, core:1, rate:479
epoch:415, core:1, rate:480
epoch:416, core:1, rate:384
epoch:417, core:1, rate:447
epoch:418, core:1, rate:448
epoch:419, core:1, rate:479
epoch:420, core:1, rate:480
epoch:421, core:1, rate:443
epoch:422, core:1, rate:448
epoch:423, core:1, rate:446
epoch:424, core:1, rate:379
epoch:425, core:1, rate:416
epoch:426, core:1, rate:444
epoch:427, core:1, rate:414
epoch:428, core:1, rate:638
epoch:429, core:1, rate:414
